episode,score,lines,pieces,reward
1,-138.5,0,15,-138.5
2,-120.5,0,15,-120.5
3,-37.5,0,19,-37.5
4,-216.5,0,19,-216.5
5,-85.0,0,20,-185.0
6,-25.5,0,21,-25.5
7,-101.0,0,21,-101.0
8,-74.5,0,23,-174.5
9,-142.0,0,15,-142.0
10,94.0,0,20,94.0
11,-143.5,0,22,-143.5
12,-157.0,0,18,-157.0
13,-190.5,0,20,-190.5
14,-115.5,0,17,-115.5
15,-146.0,0,23,-146.0
16,50.5,0,23,50.5
17,-131.5,0,12,-131.5
18,-170.5,0,14,-270.5
19,-87.5,0,18,-87.5
20,-168.5,0,21,-268.5
21,-89.5,0,19,-89.5
22,-39.0,0,22,-139.0
23,-84.0,0,24,-84.0
24,167.0,0,23,167.0
25,-151.0,0,15,-151.0
26,-97.5,0,14,-97.5
27,-59.5,0,17,-159.5
28,-166.5,0,20,-166.5
29,77.0,1,23,-23.0
30,-84.0,0,14,-84.0
31,-99.0,0,17,-199.0
32,-48.0,0,20,-48.0
33,-109.0,0,19,-209.0
34,78.0,0,23,-22.0
35,-80.0,0,20,-80.0
36,-141.0,0,18,-141.0
37,-103.0,0,16,-103.0
38,-219.0,0,19,-219.0
39,-203.0,0,15,-203.0
40,-138.5,0,17,-238.5
41,-153.5,0,15,-153.5
42,-129.5,0,16,-129.5
43,-187.0,0,18,-187.0
44,-119.5,0,18,-119.5
45,-55.0,0,21,-55.0
46,35.0,0,19,35.0
47,-143.5,0,16,-143.5
48,-154.5,0,19,-154.5
49,-102.0,0,14,-102.0
50,-129.0,0,20,-129.0
51,-173.5,0,18,-273.5
52,-167.0,0,13,-167.0
53,236.5,0,26,136.5
54,-112.5,0,24,-112.5
55,-148.5,0,13,-148.5
56,-29.0,0,23,-129.0
57,-53.0,0,18,-53.0
58,48.0,0,23,-52.0
59,138.5,0,25,138.5
60,-115.5,0,18,-115.5
61,13.5,0,22,13.5
62,-162.5,0,21,-262.5
63,-42.0,0,21,-42.0
64,-219.5,0,17,-219.5
65,-197.0,0,18,-297.0
66,-113.5,0,18,-113.5
67,26.0,0,22,-74.0
68,-128.0,0,21,-128.0
69,-135.5,0,22,-235.5
70,-119.0,0,16,-119.0
71,-142.0,0,17,-142.0
72,-80.5,0,22,-180.5
73,-172.0,0,17,-172.0
74,-165.0,0,17,-165.0
75,-81.0,0,19,-81.0
76,304.5,0,27,204.5
77,-96.0,0,18,-196.0
78,-116.0,0,15,-116.0
79,-126.5,0,17,-126.5
80,-57.5,0,18,-57.5
81,-166.5,0,17,-166.5
82,-227.0,0,18,-327.0
83,-145.5,0,21,-245.5
84,35.0,0,19,35.0
85,177.5,0,21,177.5
86,-165.5,0,15,-165.5
87,155.5,0,26,155.5
88,-173.5,0,13,-173.5
89,18.5,0,18,-81.5
90,-154.5,0,21,-154.5
91,-51.0,0,22,-151.0
92,-16.5,0,20,-116.5
93,-216.0,0,18,-316.0
94,207.0,0,25,207.0
95,-141.5,0,18,-141.5
96,-12.0,0,18,-12.0
97,54.0,0,23,54.0
98,-127.0,0,18,-227.0
99,-148.0,0,15,-148.0
100,-89.5,0,19,-89.5
101,-191.5,0,19,-191.5
102,-119.5,0,13,-119.5
103,-191.5,0,19,-191.5
104,-29.0,0,15,-129.0
105,-175.0,0,20,-275.0
106,-174.5,0,14,-174.5
107,-120.0,0,17,-120.0
108,-65.0,0,14,-165.0
109,101.5,0,22,101.5
110,-123.5,0,15,-223.5
111,-145.5,0,16,-145.5
112,69.5,1,19,-30.5
113,-171.5,0,19,-171.5
114,-87.5,0,22,-187.5
115,-156.0,0,16,-156.0
116,179.0,1,26,79.0
117,-211.0,0,22,-211.0
118,151.0,0,23,51.0
119,4.5,0,19,4.5
120,-134.0,0,14,-234.0
121,-213.5,0,21,-313.5
122,-217.5,0,14,-217.5
123,-136.5,0,21,-236.5
124,-209.5,0,20,-209.5
125,-17.5,0,21,-117.5
126,-84.5,0,22,-84.5
127,-170.5,0,17,-170.5
128,-50.0,0,20,-150.0
129,-165.0,0,23,-265.0
130,-175.0,0,19,-175.0
131,-132.5,0,23,-232.5
132,-119.0,0,17,-119.0
133,-145.0,0,16,-145.0
134,-92.5,0,17,-92.5
135,-120.0,0,17,-120.0
136,-99.5,0,16,-99.5
137,129.5,0,25,29.5
138,43.0,0,21,43.0
139,-234.0,0,13,-334.0
140,-136.0,0,19,-136.0
141,-157.0,0,23,-257.0
142,43.0,0,21,-57.0
