episode,score,lines,reward
1,531.0,1,-119.0
2,844.5,0,144.5
3,-80.5,0,-130.5
4,-102.5,0,-252.5
5,574.5,0,174.5
6,592.0,0,292.0
7,728.0,0,328.0
8,791.0,0,191.0
9,634.0,0,384.0
10,667.5,0,317.5
11,66.0,0,-434.0
12,419.0,0,-31.0
13,1055.5,0,605.5
14,252.5,0,-297.5
15,440.5,0,190.5
16,552.5,0,-97.5
17,666.5,0,266.5
18,672.5,0,22.5
19,246.5,0,-53.5
20,860.5,0,210.5
21,108.5,0,-191.5
22,175.0,0,-325.0
23,218.5,0,-131.5
24,1008.0,1,608.0
25,266.5,0,-83.5
26,83.5,0,-216.5
27,975.5,1,175.5
28,135.0,0,-115.0
29,332.5,0,-117.5
30,952.5,1,52.5
31,-88.5,0,-238.5
32,637.0,0,87.0
33,345.5,0,-54.5
34,524.0,0,-76.0
35,443.5,0,243.5
36,343.0,0,43.0
37,1305.5,0,805.5
38,510.5,0,-589.5
39,146.0,0,-354.0
40,647.0,0,247.0
41,129.5,0,-120.5
42,298.0,1,-52.0
43,208.5,0,8.5
44,568.5,0,18.5
45,477.5,0,77.5
46,907.0,0,107.0
47,169.0,0,-381.0
48,827.0,0,377.0
49,787.5,1,387.5
50,1016.5,2,616.5
51,752.5,0,302.5
52,737.0,1,387.0
53,680.0,0,280.0
54,780.5,1,430.5
55,441.5,0,41.5
56,1083.0,1,633.0
57,506.5,0,356.5
58,557.5,0,107.5
59,540.0,0,240.0
60,502.0,0,2.0
61,424.5,0,274.5
62,450.5,0,0.5
63,91.0,0,-359.0
64,-5.5,0,-55.5
65,846.5,1,246.5
66,1038.0,1,238.0
67,937.0,0,437.0
68,496.5,0,146.5
69,510.0,0,160.0
70,568.0,1,268.0
71,453.0,0,53.0
72,437.0,0,-13.0
73,183.0,0,33.0
74,458.5,0,108.5
75,188.5,1,-11.5
76,504.5,0,54.5
77,678.5,1,378.5
78,639.5,1,189.5
79,590.5,1,290.5
80,81.5,0,-168.5
81,569.0,0,319.0
82,706.0,1,306.0
83,508.0,0,-242.0
84,620.5,0,270.5
85,703.0,1,203.0
86,549.5,2,-300.5
87,624.5,0,374.5
88,703.0,0,503.0
89,420.5,0,-179.5
90,929.5,1,429.5
91,762.5,0,362.5
92,68.0,0,-132.0
93,523.0,1,-277.0
94,756.0,1,356.0
95,500.0,0,-100.0
96,946.5,3,446.5
97,260.0,0,10.0
98,511.5,0,11.5
99,524.5,0,74.5
100,594.0,2,-6.0
